artist,songs,Clusters
Outkast,Southernplayalisticadillacmuzik,2
Carnage,Learn How to Watch (feat. Mac Miller & MadeinTYO),2
BIG30,Allegations (feat. Pooh Shiesty),0
Pooh Shiesty,No Profanity,0
G Herbo,All Black,7
A$AP Rocky,Rich Nigga Problems,4
Nas,One Mic,3
Freddie Gibbs,Gang Signs (feat. ScHoolboy Q),1
Pooh Shiesty,Shiesty Season Intro,5
Tee Grizzley,Late Night Calls,0
Polo G,GNF (OKOKOK),6
JID,Bruuuh (with Denzel Curry) - Remix,5
JID,Cludder,1
Lil Wayne,Banned,4
Slimelife Shawty,Clappers (feat. 42 Dugg),5
Ysr Gramz,Since The 1st Grade,0
Benny The Butcher,'97 Hov,6
A Boogie Wit da Hoodie,Still Think About You,7
Future,Benz Friendz (Whatchutola) (feat. André 3000),4
YoungBoy Never Broke Again,Off 1Tenth,1
Ysr Gramz,Lamelo Ball,3
Brent Faiyaz,"Gravity (feat. Tyler, The Creator)",2
Lil Durk,Last Minute,2
Lil Durk,Finesse Out The Gang Way (feat. Lil Baby),3
Freddie Gibbs,High (feat. Danny Brown),4
Griselda,DR. BIRD'S,1
Denzel Curry,ꞌCosmicꞌ.m4a,4
Guilty Simpson,Detroit’s Son,2
Sada Baby,Pressin (feat. King Von),5
Sada Baby,Bloxk Party (feat. Drego),0
G Herbo,Ridin Wit It,3
Lil Baby,Errbody,0
Gucci Mane,Still Remember (feat. Pooh Shiesty),5
King Von,All These Niggas (feat. Lil Durk),0
Pooh Shiesty,ABCGE (feat. BIG30),0
YoungBoy Never Broke Again,Green Dot,2
Scorey,Moods,3
Dreamville,Outta Pocket (with Bas & Cozz feat. Girl Talk),7
Deante' Hitchcock,I Got Money Now (feat. JID),7
Young Thug,"Floyd Mayweather (feat. Travis Scott, Gucci Mane and Gunna)",7
Jack Harlow,Face Of My City (feat. Lil Baby),4
G Herbo,Party in Heaven,1
G Herbo,Statement,1
G Herbo,Some Nights,1
Funk Flex,Lurkin,0
G Herbo,Death Row,0
GMO Stax,Back From the Dead,3
Lil Durk,Stay Down (with 6LACK & Young Thug),3
Conway the Machine,Lemon (feat. Method Man),1
Playboi Carti,Place,0
Playboi Carti,Vamp Anthem,2
Playboi Carti,Go2DaMoon (feat. Kanye West),5
Lil Durk,To Be Honest,4
Lil Durk,Free Jamell (with YNW Melly),3
Lil Durk,Still Trappin' (with King Von),3
Meek Mill,GTA (feat. 42 Dugg),0
Future,Sorry,0
Lil Wayne,Gunwalk,7
Metro Boomin,Blue Pill,6
Tsu Surf,Nana Crib (feat. G Herbo & Mozzy),5
Kid Cudi,T.G.I.F.,3
2Pac,Do For Love,7
Kid Cudi,Heaven On Earth,0
Kid Cudi,Another Day,0
Kid Cudi,She Knows This,2
Kid Cudi,Lord I Know,0
Kid Cudi,Rockstar Knights (with Trippie Redd),2
Kid Cudi,The Pale Moonlight,2
Kid Cudi,"Solo Dolo, Pt. III",3
Kid Cudi,Tequila Shots,4
Nas,Small World,2
Freddie Gibbs,Scottie Beam,6
Baby Smoove,Hall of Fame,3
Baby Smoove,Bandana Patches,2
Baby Smoove,Overtime,1
Lil Wayne,B.B. King Freestyle (with Drake),6
Lil Yachty,Just How I'm Feelin' (feat. Lil Baby),0
42 Dugg,Free Me,7
The Notorious B.I.G.,What's Beef,3
Baby Smoove,Goyard,1
Baby Smoove,'04 Iverson,5
Baby Smoove,Purple Heart,7
A$AP Rocky,Hun43rd,0
Future,Moment of Clarity,7
Future,Real Baby Pluto,7
T.I.,Ring (feat. Young Thug),0
King Von,The Code (feat. Polo G),3
King Von,Back Again (feat. Lil Durk),5
King Von,Armed & Dangerous,2
JID,LAUDER,7
Busta Rhymes,Look Over Your Shoulder (feat. Kendrick Lamar),4
Lil Baby,Humble,1
Slick Rick,Street Talkin',3
Mos Def,Sunshine,1
Outkast,Elevators (Me & You),3
Frank Ocean,Pyramids,4
Nas,Dance,0
21 Savage,Steppin On Niggas [ChopNotSlop Remix],4
21 Savage,Slidin [ChopNotSlop Remix],5
Pop Smoke,Iced Out Audemars (feat. Lil Wayne) - Remix,4
Shaggy,Boombastic,5
Fredo Bang,Air It Out,3
YNW Melly,Mind On My Murder,0
"Tyler, The Creator",Pigs,1
21 Savage,My Dawg,0
50 Cent,Many Men (Wish Death),1
Ice Cube,Friday,2
Baby Smoove,Dirty Faygo,6
Coach Joey,Border Patrol,5
Money Man,24 (feat. Lil Baby),7
Lil Wayne,President Carter,6
Icewear Vezzo,Wreckless (feat. Baby Smoove),0
Thundercat,Oh Sheit it's X,0
Flying Lotus,The Climb,3
Nate Dogg,Backdoor,3
21 Savage,RIP Luv,0
The Notorious B.I.G.,Going Back to Cali - 2014 Remaster,7
Lil Wayne,Life Of Mr. Carter,2
Lil Wayne,Scottie,7
Lil Wayne,Open Letter,3
Damjonboi,Keep Up,5
Damjonboi,Cartiers & Palm Trees,3
Baby Smoove,Missing,5
Baby Smoove,Diary of a Mad Man,0
Memo600,Exposing Me (feat. King Von) - Remix,7
